cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
38,2026-07-25T19:58:20.305834+00:00,29699.43,65647.44,51679.13,18686.77,614423.87,24902.45,13291.46,9871.06,46129.05,495374.9
39,2026-07-25T20:06:29.479819+00:00,29273.52,64673.49,50527.5,18256.31,600432.6,24397.45,13031.92,9653.17,45017.03,495385.63
40,2026-07-25T20:15:04.390532+00:00,29062.74,64348.93,50103.84,18121.14,595767.91,24227.15,12943.43,9579.18,44728.11,495372.77
41,2026-07-25T20:23:44.075121+00:00,28779.02,63940.5,49569.78,17926.5,589906.07,24009.58,12826.78,9481.48,44333.51,495392.11
42,2026-07-25T20:32:08.575319+00:00,29185.05,64519.85,50335.93,18205.7,598282.03,24325.0,12994.55,9554.93,44903.0,495445.25
43,2026-07-25T20:40:11.965939+00:00,29021.81,64192.03,49903.97,18047.76,593617.98,24147.09,12879.85,9489.56,44579.73,495725.31
44,2026-07-25T20:48:05.999358+00:00,28547.22,63244.5,48657.89,17593.1,579898.44,23631.67,12548.82,9370.91,43598.93,495329.11
45,2026-07-25T20:58:12.957412+00:00,28832.64,63724.05,49288.92,17815.45,586794.54,23919.27,12716.66,9429.82,44096.22,495296.85
46,2026-07-25T21:05:15.999788+00:00,29235.02,64399.1,50180.0,18120.22,596530.45,24324.7,12953.27,9535.05,44797.26,495321.19
47,2026-07-25T21:12:27.273870+00:00,29323.18,64547.2,50375.22,18122.14,598662.31,24412.73,13005.11,9562.73,44950.84,495321.19
48,2026-07-25T21:20:42.288005+00:00,29149.45,64255.32,49990.48,18122.14,594460.92,24231.42,12902.95,9503.29,44648.16,495321.19
49,2026-07-25T21:45:20.892151+00:00,28960.87,63923.35,49572.87,18116.15,589900.63,24034.63,12792.06,9436.81,44319.63,495321.19
50,2026-07-25T21:51:54.543518+00:00,29093.02,64236.69,49864.53,18152.58,593096.27,24171.18,12869.77,9493.92,44543.4,495321.19
