cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
44,2026-07-26T13:47:10.199692+00:00,44547.79,41390.73,31881.25,25696.06,468195.55,8928.52,8038.97,23875.46,50642.26,460103.97
45,2026-07-26T13:54:11.955765+00:00,45159.14,42011.86,32318.52,26020.36,474245.1,9064.42,8158.58,24238.92,51412.7,466968.09
46,2026-07-26T14:01:31.402561+00:00,46051.42,42918.41,32484.04,26530.31,483069.94,9262.76,8333.16,24769.4,52537.17,476986.38
47,2026-07-26T14:08:32.464306+00:00,46085.47,42953.0,32495.13,26550.31,483410.64,9270.33,8339.82,24789.64,52580.08,477368.73
48,2026-07-26T14:15:38.247842+00:00,46027.4,42894.01,32473.65,26515.36,482825.1,9257.42,8328.46,24755.12,52506.9,476716.74
49,2026-07-26T14:22:55.744790+00:00,45669.97,42531.31,32330.73,26297.96,479214.41,9178.07,8258.62,24542.88,52057.02,472708.59
50,2026-07-26T14:30:00.102636+00:00,45823.93,42680.24,32423.49,26390.07,480694.77,9210.65,8287.3,24630.03,52241.77,474354.43
51,2026-07-26T14:37:13.757525+00:00,45671.64,42533.01,32331.79,26299.01,479221.15,9178.44,8258.94,24543.88,52059.14,472727.4
52,2026-07-26T14:44:27.194205+00:00,45591.71,42459.31,32285.51,26253.42,478483.38,9162.31,8244.75,24500.75,51967.67,471912.84
53,2026-07-26T14:52:20.268446+00:00,45390.87,42277.55,32170.74,26141.01,476664.2,9122.55,8209.75,24394.39,51742.06,469904.28
54,2026-07-26T14:59:53.998969+00:00,44943.13,41875.19,31915.42,25892.16,472636.87,9034.51,8132.26,24158.94,51242.6,465457.72
55,2026-07-26T15:07:41.402877+00:00,45578.39,42452.94,32296.11,26249.49,478419.69,9160.92,8243.52,24497.02,51959.75,471842.52
56,2026-07-26T15:15:20.835172+00:00,45460.45,42346.19,32221.48,26183.46,477351.18,9137.56,8222.96,24434.55,51827.24,470662.78
57,2026-07-26T15:23:30.922087+00:00,45625.84,42495.92,32327.21,26276.07,478849.87,9170.32,8251.8,24522.17,52013.1,472317.48
58,2026-07-26T15:40:29.079943+00:00,45820.53,42673.87,32456.57,26386.12,480630.95,9209.26,8286.07,24626.3,52233.97,474283.96
59,2026-07-26T15:47:30.162421+00:00,45607.81,42479.64,32308.36,26266.0,478686.89,9166.76,8248.66,24512.64,51992.88,472137.53
60,2026-07-26T16:00:28.543428+00:00,45314.09,42212.96,32103.95,26101.06,476016.39,9108.41,8197.31,24356.59,51661.86,469190.43
61,2026-07-26T16:11:25.387314+00:00,45473.95,42357.14,32214.35,26190.24,477423.4,9139.96,8225.07,24440.96,51840.84,470783.84
62,2026-07-26T16:18:25.161342+00:00,45645.88,42513.56,32334.69,26286.98,479145.52,9174.18,8255.2,24532.5,52035.0,472512.45
63,2026-07-26T16:25:07.766218+00:00,45472.62,42355.97,32213.44,26189.51,477410.48,9139.7,8224.85,24440.28,51839.38,470770.87
64,2026-07-26T16:31:52.131308+00:00,45464.25,42348.99,32208.08,26185.2,477321.7,9138.18,8223.51,24436.2,51830.72,470693.78
65,2026-07-26T16:38:27.423264+00:00,45456.89,42344.15,32204.35,26182.0,477289.01,9137.12,8222.57,24433.36,51824.71,470640.28
66,2026-07-26T16:44:52.187795+00:00,45450.2,42337.28,32199.02,26178.08,477237.45,9135.62,8221.25,24429.34,51816.18,470564.37
67,2026-07-26T16:51:23.197687+00:00,45300.19,42201.41,32094.06,26092.4,475654.03,9105.89,8195.05,24349.84,51647.53,469062.86
68,2026-07-26T16:58:31.224489+00:00,45346.05,42243.32,32126.42,26118.66,476140.96,9115.06,8203.14,24374.36,51699.55,469525.98
69,2026-07-26T17:03:47.483657+00:00,45317.89,42217.77,32106.66,26102.42,475840.88,9109.47,8198.11,24359.41,51667.83,469243.63
70,2026-07-26T17:10:18.377647+00:00,45401.98,42294.45,32165.92,26150.87,476716.24,9126.25,8213.14,24404.3,51763.05,470091.35
71,2026-07-26T17:16:22.749154+00:00,45431.76,42321.64,32186.9,26168.07,477022.58,9132.19,8218.47,24420.18,51796.75,470391.39
72,2026-07-26T17:22:15.772740+00:00,45276.68,42178.86,32076.92,26078.8,475443.06,9100.98,8190.53,24336.71,51619.68,468814.9
