cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
38,2026-07-26T16:27:55.261913+00:00,41850.48,50143.81,41591.94,15526.46,503567.54,6595.39,7106.83,10833.58,37925.41,479759.31
39,2026-07-26T16:38:14.253432+00:00,40855.57,49003.02,40876.26,15428.6,491003.62,6436.86,6929.29,10652.21,37153.62,476084.22
40,2026-07-26T16:52:24.710357+00:00,40524.04,48685.89,40637.77,15395.99,486816.93,6384.03,6868.89,10591.78,36896.43,475011.72
41,2026-07-26T17:03:38.896965+00:00,40107.86,48191.34,40338.4,15353.22,481561.43,6317.72,6808.02,10515.91,36573.59,473432.51
42,2026-07-26T17:12:50.146726+00:00,40701.39,48903.27,40765.35,15382.41,489055.4,6412.29,6890.58,10624.11,37034.02,475700.69
43,2026-07-26T17:24:43.416586+00:00,40366.66,48507.92,40524.56,15365.95,484817.29,6358.95,6843.9,10563.09,36774.35,474436.37
44,2026-07-26T17:35:23.163562+00:00,39400.57,47369.28,39829.61,15318.44,472585.67,6205.01,6712.67,10386.97,36024.92,470793.17
45,2026-07-26T17:45:27.960737+00:00,39890.4,47921.7,40181.97,15342.53,478787.4,6283.07,6779.21,10476.27,36404.9,472580.26
46,2026-07-26T17:56:09.504811+00:00,40580.92,48720.04,40678.69,15376.49,487530.07,6393.1,6873.0,10602.15,36940.56,475146.8
47,2026-07-26T18:04:48.759993+00:00,38232.2,48894.32,40787.51,15383.93,489445.42,6417.2,6893.55,10629.72,37057.91,475707.59
48,2026-07-26T18:14:28.178076+00:00,40434.06,48551.36,40573.05,15369.27,485670.71,6369.69,6853.05,10575.37,36826.64,474603.65
49,2026-07-26T18:22:57.797272+00:00,40110.46,48168.25,40340.27,15353.35,481654.44,6318.13,6809.1,10516.38,36575.61,473379.18
50,2026-07-26T18:30:56.575809+00:00,40337.22,48458.3,40503.39,15364.5,501966.19,10534.31,11488.01,10557.72,50165.04,474289.3
